building_id,city,area,community,complex,building
1325,dubai,dubai creek harbour,creek edge,,creek edge tower 1
1326,dubai,dubai creek harbour,creek edge,,creek edge tower 2
1327,dubai,dubai creek harbour,harbour gate,,harbour gate tower 1
1328,dubai,dubai creek harbour,harbour gate,,harbour gate tower 2
1329,dubai,dubai creek harbour,harbour gate,,harbour gate podium
1330,dubai,dubai creek harbour,the cove,,the cove building 1
1331,dubai,dubai creek harbour,the cove,,the cove building 3
1332,dubai,dubai creek harbour,the cove,,the cove building 2
1333,dubai,dubai creek harbour,dubai creek residences,,dubai creek residence tower 1 south
1335,dubai,dubai creek harbour,dubai creek residences,,dubai creek residence tower 1 north
1337,dubai,dubai creek harbour,dubai creek residences,,dubai creek residence tower 3 south
1338,dubai,dubai creek harbour,dubai creek residences,,dubai creek residence tower 3 north
1339,dubai,dubai creek harbour,dubai creek residences,,the dubai creek residences north podium
1340,dubai,dubai creek harbour,dubai creek residences,,the dubai creek residences south podium
1341,dubai,dubai creek harbour,the cove ii,,the cove ii building 4
1342,dubai,dubai creek harbour,the cove ii,,the cove ii building 8
1343,dubai,dubai creek harbour,the cove ii,,the cove ii building 11
1344,dubai,dubai creek harbour,the cove ii,,the cove ii building 7
1345,dubai,dubai creek harbour,the cove ii,,the cove ii building 6
1346,dubai,dubai creek harbour,the cove ii,,the cove ii building 5
1347,dubai,dubai creek harbour,harbour views,,harbour views 1
1348,dubai,dubai creek harbour,harbour views,,harbour views 2
1349,dubai,dubai creek harbour,creekside 18,,creekside 18 tower a
1350,dubai,dubai creek harbour,creekside 18,,creekside 18 tower b
1351,dubai,dubai creek harbour,creekside 18,,creekside 18 podium
1352,dubai,dubai creek harbour,creek horizon,,creek horizon tower 2
1353,dubai,dubai creek harbour,creek horizon,,creek horizon tower 1
1354,dubai,dubai creek harbour,creek rise,,creek rise 2 tower
1355,dubai,dubai creek harbour,creek rise,,creek rise 1 tower
1356,dubai,dubai creek harbour,creek gate,,creek gate tower 1
1357,dubai,dubai creek harbour,creek gate,,creek gate tower 2
1358,dubai,dubai creek harbour,rosewater at creek beach,,rosewater at creek beach building 2
1359,dubai,dubai creek harbour,rosewater at creek beach,,rosewater at creek beach building 3
1360,dubai,dubai creek harbour,summer at creek beach,,summer 4
1361,dubai,dubai creek harbour,summer at creek beach,,summer 3
1362,dubai,dubai creek harbour,summer at creek beach,,summer 2
1363,dubai,dubai creek harbour,summer at creek beach,,summer 1
1364,dubai,dubai creek harbour,island park,,island park 2
1365,dubai,dubai creek harbour,island park,,island park 1
1366,dubai,dubai creek harbour,aeon,,aeon tower 1
1367,dubai,dubai creek harbour,aeon,,aeon tower 2
1368,dubai,dubai creek harbour,surf at creek beach,,surf 2
1369,dubai,dubai creek harbour,surf at creek beach,,surf 1
1370,dubai,dubai creek harbour,breeze at creek beach,,breeze 2
1371,dubai,dubai creek harbour,breeze at creek beach,,breeze 3
1372,dubai,dubai creek harbour,bayshore at creek beach,,bayshore 4
1373,dubai,dubai creek harbour,bayshore at creek beach,,bayshore 2
1374,dubai,dubai creek harbour,bayshore at creek beach,,bayshore 1
1375,dubai,dubai creek harbour,cedar at creek beach,,cedar at creek beach building 4
1376,dubai,dubai creek harbour,cedar at creek beach,,cedar at creek beach building 1
1377,dubai,dubai creek harbour,cedar at creek beach,,cedar at creek beach building 3
1378,dubai,dubai creek harbour,cedar at creek beach,,cedar at creek beach building 2
1379,dubai,dubai creek harbour,sunset at creek beach,,sunset 1
1380,dubai,dubai creek harbour,sunset at creek beach,,sunset 3
1381,dubai,jumeirah lake towers (jlt),jlt cluster k,,mbl royal
1382,dubai,jumeirah lake towers (jlt),jlt cluster k,,mbl residences
1383,dubai,jumeirah lake towers (jlt),jlt cluster l,,me do re
1385,dubai,jumeirah lake towers (jlt),jlt cluster l,,preatoni tower
1386,dubai,jumeirah lake towers (jlt),viewz by danube,,viewz 1 by danube
1387,dubai,jumeirah lake towers (jlt),viewz by danube,,viewz 2 by danube
1388,dubai,jumeirah lake towers (jlt),upper house,,upper house east
1389,dubai,jumeirah lake towers (jlt),upper house,,upper house west
1391,dubai,jumeirah lake towers (jlt),jlt cluster q,,saba tower 2
1392,dubai,jumeirah lake towers (jlt),jlt cluster q,,saba tower 3
1395,dubai,jumeirah lake towers (jlt),jlt cluster a,,laguna movenpick tower
1396,dubai,jumeirah lake towers (jlt),jlt cluster d,,lake terrace
1397,dubai,jumeirah lake towers (jlt),jlt cluster d,,lake city tower
1398,dubai,jumeirah lake towers (jlt),jlt cluster d,,indigo tower
1399,dubai,jumeirah lake towers (jlt),jlt cluster v,,v3 tower
1400,dubai,jumeirah lake towers (jlt),jlt cluster v,,goldcrest views 1
1401,dubai,jumeirah lake towers (jlt),wind towers,,wind tower i
1402,dubai,jumeirah lake towers (jlt),wind towers,,wind tower ii
1403,dubai,jumeirah lake towers (jlt),jlt cluster j,,goldcrest views 2
1404,dubai,jumeirah lake towers (jlt),jlt cluster j,,bonnington tower
1405,dubai,jumeirah lake towers (jlt),jlt cluster s,,green lakes 1
1406,dubai,jumeirah lake towers (jlt),jlt cluster s,,green lakes 2
1407,dubai,jumeirah lake towers (jlt),jlt cluster s,,green lakes 3
1408,dubai,jumeirah lake towers (jlt),jlt cluster r,,al waleed paradise
1409,dubai,jumeirah lake towers (jlt),jlt cluster r,,mag 214 tower
1410,dubai,jumeirah lake towers (jlt),jlt cluster u,,al seef tower 3
1411,dubai,jumeirah lake towers (jlt),jlt cluster u,,al seef tower 2
1412,dubai,jumeirah lake towers (jlt),jlt cluster u,,tamweel tower
1413,dubai,jumeirah lake towers (jlt),jlt cluster e,,global lake view
1414,dubai,jumeirah lake towers (jlt),jlt cluster e,,al shera tower
1415,dubai,jumeirah lake towers (jlt),uptown dubai,,uptown tower
1416,dubai,jumeirah lake towers (jlt),uptown dubai,,mercer house
1417,dubai,jumeirah lake towers (jlt),jlt cluster o,,madina tower
1418,dubai,jumeirah lake towers (jlt),jlt cluster o,,o2 residence
1419,dubai,jumeirah lake towers (jlt),jlt cluster x (jumeirah bay towers),,jumeirah bay x1
1420,dubai,jumeirah lake towers (jlt),jlt cluster x (jumeirah bay towers),,jumeirah bay x2
1421,dubai,jumeirah lake towers (jlt),jlt cluster c,,goldcrest executive
1422,dubai,jumeirah lake towers (jlt),jlt cluster c,,the palladium
1423,dubai,dubai hills estate,park heights,,acacia
1424,dubai,dubai hills estate,park heights,,park heights 1
1425,dubai,dubai hills estate,park heights,,mulberry 1
1426,dubai,dubai hills estate,park heights,,mulberry 2
1427,dubai,dubai hills estate,park heights,,palace residences
1430,dubai,dubai hills estate,maple,,maple 3
1431,dubai,dubai hills estate,sidra villas,,sidra 1
1432,dubai,dubai hills estate,sidra villas,,sidra 2
1433,dubai,dubai hills estate,sidra villas,,sidra 3
1434,dubai,dubai hills estate,golf place,,golf place ii
1435,dubai,dubai hills estate,golf place,,golf place i
1436,dubai,dubai hills estate,greenside residence,,greenside residence tower a
1437,dubai,dubai hills estate,greenside residence,,greenside residence tower b
