building_id,city,area,community,complex,building
1736,dubai,palm jumeirah,royal amwaj residences,,armani beach residences
1737,dubai,palm jumeirah,royal amwaj residences,,anantara residences
1738,dubai,palm jumeirah,w residences,,soho palm
1739,dubai,palm jumeirah,shoreline apartments,,shoreline apartments
1740,dubai,palm jumeirah,golden mile,,golden mile
1741,dubai,palm jumeirah,tiara residences,,tiara residences
1742,dubai,palm jumeirah,tiara residences,,five palm jumeirah
1743,dubai,palm jumeirah,oceana,,oceana
1744,dubai,palm jumeirah,w residences,,palme couture residences
1745,dubai,palm jumeirah,w residences,,azure residences
1746,dubai,palm jumeirah,w residences,,sapphire
1747,dubai,warsan 4,w residences,,mirdif hills
1748,dubai,warsan 4,w residences,,mirdif tulip
